Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region
Naruto Uzumaki,SR,NRSA01-SR-010L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Mizuki,SR,NRSA01-SR-011L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sakura Haruno,SR,NRSA01-SR-012L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sakura Haruno,SR,NRSA01-SR-013L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Iruka Umino,SR,NRSA01-SR-014L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Hiruzen Sarutobi,SR,NRSA01-SR-015L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Zabuza Momochi,SR,NRSA01-SR-016L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Zabuza Momochi,SR,NRSA01-SR-017L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Zabuza Momochi,SR,NRSA01-SR-018L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sasuke Uchiha,SR,NRSA01-SR-019L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sasuke Uchiha,SR,NRSA01-SR-020L2,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Hinata Hyuga,SR,NRSA02-SR-001L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Choji Akimichi,SR,NRSA02-SR-002L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Choji Akimichi,SR,NRSA02-SR-003L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Kabuto Yakushi,SR,NRSA02-SR-004L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Anko Mitarashi,SR,NRSA02-SR-005L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Ino Yamanaka,SR,NRSA02-SR-006L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Ino Yamanaka,SR,NRSA02-SR-007L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Orochimaru,SR,NRSA02-SR-008L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Naruto Uzumaki,SR,NRSA02-SR-009L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Naruto Uzumaki,SR,NRSA02-SR-010L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Neji Hyuga,SR,NRSA02-SR-011L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Kiba Inuzuka,SR,NRSA02-SR-012L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Ibiki Morino,SR,NRSA02-SR-013L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Temari,SR,NRSA02-SR-014L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Gaara,SR,NRSA02-SR-015L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Rock Lee,SR,NRSA02-SR-016L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Rock Lee,SR,NRSA02-SR-017L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Sakura Haruno,SR,NRSA02-SR-018L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Sakura Haruno,SR,NRSA02-SR-019L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Sasuke Uchiha,SR,NRSA02-SR-020L2,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Enter: Naruto Uzumaki! 1,R,NRSA01-R-001L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Enter: Naruto Uzumaki! 2,R,NRSA01-R-002L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Enter: Naruto Uzumaki! 3,R,NRSA01-R-003L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Enter: Naruto Uzumaki! 4,R,NRSA01-R-004L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Enter: Naruto Uzumaki! 5,R,NRSA01-R-005L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
You Failed! Kakashi's Final Decision 1,R,NRSA01-R-006L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
You Failed! Kakashi's Final Decision 2,R,NRSA01-R-007L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
You Failed! Kakashi's Final Decision 3,R,NRSA01-R-008L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
You Failed! Kakashi's Final Decision 4,R,NRSA01-R-009L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
You Failed! Kakashi's Final Decision 5,R,NRSA01-R-010L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
A Dangerous Mission! Journey to the Land of Waves! 1,R,NRSA01-R-011L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
A Dangerous Mission! Journey to the Land of Waves! 2,R,NRSA01-R-012L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
A Dangerous Mission! Journey to the Land of Waves! 3,R,NRSA01-R-013L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
A Dangerous Mission! Journey to the Land of Waves! 4,R,NRSA01-R-014L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
A Dangerous Mission! Journey to the Land of Waves! 5,R,NRSA01-R-015L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Assassin of the Mist! 1,R,NRSA01-R-016L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Assassin of the Mist! 2,R,NRSA01-R-017L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Assassin of the Mist! 3,R,NRSA01-R-018L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Assassin of the Mist! 4,R,NRSA01-R-019L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Assassin of the Mist! 5,R,NRSA01-R-020L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Oath of Pain 1,R,NRSA01-R-021L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Oath of Pain 2,R,NRSA01-R-022L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Oath of Pain 3,R,NRSA01-R-023L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Oath of Pain 4,R,NRSA01-R-024L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Oath of Pain 5,R,NRSA01-R-025L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi: Sharingan Warrior 1,R,NRSA01-R-026L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi: Sharingan Warrior 2,R,NRSA01-R-027L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi: Sharingan Warrior 3,R,NRSA01-R-028L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi: Sharingan Warrior 4,R,NRSA01-R-029L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi: Sharingan Warrior 5,R,NRSA01-R-030L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Battle on the Bridge! Zabuza Returns! 1,R,NRSA01-R-031L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Battle on the Bridge! Zabuza Returns! 2,R,NRSA01-R-032L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Battle on the Bridge! Zabuza Returns! 3,R,NRSA01-R-033L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Battle on the Bridge! Zabuza Returns! 4,R,NRSA01-R-034L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Battle on the Bridge! Zabuza Returns! 5,R,NRSA01-R-035L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Haku's Secret Jutsu: Crystal Ice Mirrors 1,R,NRSA01-R-036L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Haku's Secret Jutsu: Crystal Ice Mirrors 2,R,NRSA01-R-037L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Haku's Secret Jutsu: Crystal Ice Mirrors 3,R,NRSA01-R-038L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Haku's Secret Jutsu: Crystal Ice Mirrors 4,R,NRSA01-R-039L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Haku's Secret Jutsu: Crystal Ice Mirrors 5,R,NRSA01-R-040L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Broken Seal 1,R,NRSA01-R-041L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Broken Seal 2,R,NRSA01-R-042L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Broken Seal 3,R,NRSA01-R-043L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Broken Seal 4,R,NRSA01-R-044L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Broken Seal 5,R,NRSA01-R-045L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Demon in the Snow 1,R,NRSA01-R-046L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Demon in the Snow 2,R,NRSA01-R-047L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Demon in the Snow 3,R,NRSA01-R-048L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Demon in the Snow 4,R,NRSA01-R-049L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
The Demon in the Snow 5,R,NRSA01-R-050L1,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Chunin Challenge: Rock Lee vs. Sasuke! 1,R,NRSA02-R-001L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Chunin Challenge: Rock Lee vs. Sasuke! 2,R,NRSA02-R-002L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Chunin Challenge: Rock Lee vs. Sasuke! 3,R,NRSA02-R-003L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Chunin Challenge: Rock Lee vs. Sasuke! 4,R,NRSA02-R-004L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Chunin Challenge: Rock Lee vs. Sasuke! 5,R,NRSA02-R-005L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Start Your Engines: The Chunin Exam Begins! 1,R,NRSA02-R-006L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Start Your Engines: The Chunin Exam Begins! 2,R,NRSA02-R-007L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Start Your Engines: The Chunin Exam Begins! 3,R,NRSA02-R-008L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Start Your Engines: The Chunin Exam Begins! 4,R,NRSA02-R-009L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
The Tenth Question: All or Nothing! 1,R,NRSA02-R-010L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
The Tenth Question: All or Nothing! 2,R,NRSA02-R-011L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
The Tenth Question: All or Nothing! 3,R,NRSA02-R-012L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
The Tenth Question: All or Nothing! 4,R,NRSA02-R-013L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
The Chunin Exam Stage 2: The Forest of Death 1,R,NRSA02-R-014L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
The Chunin Exam Stage 2: The Forest of Death 2,R,NRSA02-R-015L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
The Chunin Exam Stage 2: The Forest of Death 3,R,NRSA02-R-016L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
The Chunin Exam Stage 2: The Forest of Death 4,R,NRSA02-R-017L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Naruto's Counterattack: Never Give In! 1,R,NRSA02-R-018L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Naruto's Counterattack: Never Give In! 2,R,NRSA02-R-019L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Bushy Brow's Pledge: Undying Love and Protection! 1,R,NRSA02-R-020L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Bushy Brow's Pledge: Undying Love and Protection! 2,R,NRSA02-R-021L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Bushy Brow's Pledge: Undying Love and Protection! 3,R,NRSA02-R-022L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Bushy Brow's Pledge: Undying Love and Protection! 4,R,NRSA02-R-023L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Sakura Blossoms! 1,R,NRSA02-R-024L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Sakura Blossoms! 2,R,NRSA02-R-025L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Sakura Blossoms! 3,R,NRSA02-R-026L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Battle Formation: Ino-Shika-Cho!! 1,R,NRSA02-R-027L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Battle Formation: Ino-Shika-Cho!! 2,R,NRSA02-R-028L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Battle Formation: Ino-Shika-Cho!! 3,R,NRSA02-R-029L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Battle Formation: Ino-Shika-Cho!! 4,R,NRSA02-R-030L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Battle Formation: Ino-Shika-Cho!! 5,R,NRSA02-R-031L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Battle Formation: Ino-Shika-Cho!! 6,R,NRSA02-R-032L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Battle Formation: Ino-Shika-Cho!! 7,R,NRSA02-R-033L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Battle Formation: Ino-Shika-Cho!! 8,R,NRSA02-R-034L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Battle Formation: Ino-Shika-Cho!! 9,R,NRSA02-R-035L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Clone vs. Clone: Mine are Better Than Yours! 1,R,NRSA02-R-036L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Clone vs. Clone: Mine are Better Than Yours! 2,R,NRSA02-R-037L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Clone vs. Clone: Mine are Better Than Yours! 3,R,NRSA02-R-038L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Clone vs. Clone: Mine are Better Than Yours! 4,R,NRSA02-R-039L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Bushy Brow's Jealousy: Lions Barrage Unleashed! 1,R,NRSA02-R-040L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Bushy Brow's Jealousy: Lions Barrage Unleashed! 2,R,NRSA02-R-041L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Bushy Brow's Jealousy: Lions Barrage Unleashed! 3,R,NRSA02-R-042L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Bushy Brow's Jealousy: Lions Barrage Unleashed! 4,R,NRSA02-R-043L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Kunoichi Rumble: The Rivals Get Serious! 1,R,NRSA02-R-044L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Kunoichi Rumble: The Rivals Get Serious! 2,R,NRSA02-R-045L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Akamaru Unleashed! Who's Top Dog Now? 1,R,NRSA02-R-046L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Akamaru Unleashed! Who's Top Dog Now? 2,R,NRSA02-R-047L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Akamaru Unleashed! Who's Top Dog Now? 3,R,NRSA02-R-048L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Akamaru Unleashed! Who's Top Dog Now? 4,R,NRSA02-R-049L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Akamaru Unleashed! Who's Top Dog Now? 5,R,NRSA02-R-050L1,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Sasuke Uchiha,SE,NRSA-SE-001L5,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Naruto Uzumaki,SE,NRSA-SE-002L5,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Zabuza Momochi,SE,NRSA-SE-003L5,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Haku,SE,NRSA-SE-004L5,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Yashamaru,SE,NRSA-SE-001L5,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Gaara,SE,NRSA-SE-002L5,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Might Guy,SE,NRSA-SE-003L5,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Rock Lee,SE,NRSA-SE-004L5,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Naruto Uzumaki,SP,NRSA-SP-001L5,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sasuke Uchiha,SP,NRSA-SP-002L5,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sakura Haruno,SP,NRSA-SP-003L5,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi Hatake,SP,NRSA-SP-004L5,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Hinata Hyuga,SP,NRSA-SP-001L5,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Neji Hyuga,SP,NRSA-SP-002L5,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Gaara,SP,NRSA-SP-003L5,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Rock Lee,SP,NRSA-SP-004L5,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Naruto Uzumaki,BP,NRSA-BP-001L4,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sasuke Uchiha,BP,NRSA-BP-002L4,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sakura Haruno,BP,NRSA-BP-003L4,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi Hatake,BP,NRSA-BP-004L4,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Hiruzen Sarutobi,BP,NRSA-BP-005L4,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Konohamaru Sarutobi,BP,NRSA-BP-006L4,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Haku,BP,NRSA-BP-007L4,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Hinata Hyuga,BP,NRSA-BP-001L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Orochimaru,BP,NRSA-BP-002L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Choji Akimichi,BP,NRSA-BP-003L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Shikamaru Nara,BP,NRSA-BP-004L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Neji Hyuga,BP,NRSA-BP-005L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Kiba Inuzuka,BP,NRSA-BP-006L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Rock Lee,BP,NRSA-BP-007L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Gaara,AR,NRSA-AR-001L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Rock Lee,AR,NRSA-AR-002L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Naruto Uzumaki,AR,NRSA-AR-003L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Neji Hyuga,AR,NRSA-AR-004L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Shikamaru Nara,AR,NRSA-AR-005L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Temari,AR,NRSA-AR-006L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Gaara,AR,NRSA-AR-007L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Sasuke Uchiha,AR,NRSA-AR-008L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Naruto Uzumaki,AR,NRSA-AR-009L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Sasuke Uchiha,AR,NRSA-AR-010L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Naruto Uzumaki,MR,NRSA-MR-001,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sasuke Uchiha,MR,NRSA-MR-002,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sakura Haruno,MR,NRSA-MR-003,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi Hatake,MR,NRSA-MR-004,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Zabuza Momochi,MR,NRSA-MR-005,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Haku,MR,NRSA-MR-006,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Naruto Uzumaki,MR,NRSA-MR-001,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Sasuke Uchiha,MR,NRSA-MR-002,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Gaara,MR,NRSA-MR-003,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Shikamaru Nara,MR,NRSA-MR-004,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Neji Hyuga,MR,NRSA-MR-005,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Hiruzen Sarutobi,MR,NRSA-MR-006,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Orochimaru,MR,NRSA-MR-007,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Sasuke Uchiha,PU,NRSA-PU-001L4,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sakura Haruno,PU,NRSA-PU-002L4,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Naruto Uzumaki,PU,NRSA-PU-003L4,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi Hatake,PU,NRSA-PU-004L4,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sasuke Uchiha,PU,NRSA-PU-005L4,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
