Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region
Naruto Uzumaki,MR,NRSA02-MR-001,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Sasuke Uchiha,MR,NRSA02-MR-002,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Gaara,MR,NRSA02-MR-003,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Shikamaru Nara,MR,NRSA02-MR-004,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Neji Hyuga,MR,NRSA02-MR-005,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Hiruzen Sarutobi,MR,NRSA02-MR-006,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Orochimaru,MR,NRSA02-MR-007,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Sasuke Uchiha,PU,NRSA01-PU-001L4,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sakura Haruno,PU,NRSA01-PU-002L4,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Naruto Uzumaki,PU,NRSA01-PU-003L4,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kakashi Hatake,PU,NRSA01-PU-004L4,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Sasuke Uchiha,PU,NRSA01-PU-005L4,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Naruto Uzumaki,PU,NRSA01-PU-006L4,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Zabuza Momochi,PU,NRSA01-PU-007L4,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Haku,PU,NRSA01-PU-008L4,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
Kabuto Yakushi,PU,NRSA02-PU-001L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Orochimaru,PU,NRSA02-PU-002L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Naruto Uzumaki,PU,NRSA02-PU-003L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Jiraiya,PU,NRSA02-PU-004L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Tenten,PU,NRSA02-PU-005L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Might Guy,PU,NRSA02-PU-006L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Rock Lee,PU,NRSA02-PU-007L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
Neji Hyuga,PU,NRSA02-PU-008L4,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
PTR-001,PTR,NRSA01-PTR-001L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-002,PTR,NRSA01-PTR-002L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-003,PTR,NRSA01-PTR-003L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-004,PTR,NRSA01-PTR-004L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-005,PTR,NRSA01-PTR-005L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-006,PTR,NRSA01-PTR-006L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-007,PTR,NRSA01-PTR-007L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-008,PTR,NRSA01-PTR-008L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-009,PTR,NRSA01-PTR-009L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-010,PTR,NRSA01-PTR-010L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-011,PTR,NRSA01-PTR-011L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-012,PTR,NRSA01-PTR-012L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-013,PTR,NRSA01-PTR-013L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-014,PTR,NRSA01-PTR-014L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-015,PTR,NRSA01-PTR-015L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-016,PTR,NRSA01-PTR-016L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-017,PTR,NRSA01-PTR-017L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-018,PTR,NRSA01-PTR-018L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-019,PTR,NRSA01-PTR-019L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
PTR-020,PTR,NRSA01-PTR-020L3,NRSA01,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,US
NRSA02-PTR-001,PTR,NRSA02-PTR-001L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-002,PTR,NRSA02-PTR-002L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-003,PTR,NRSA02-PTR-003L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-004,PTR,NRSA02-PTR-004L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-005,PTR,NRSA02-PTR-005L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-006,PTR,NRSA02-PTR-006L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
