Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region,Release_Date
PTR-019,PTR,NRV01-PTR-019L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
PTR-020,PTR,NRV01-PTR-020L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Naruto Uzumaki,UR,NRV01-UR-001L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Sasuke Uchiha,UR,NRV01-UR-002L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Sakura Haruno,UR,NRV01-UR-003L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Kakashi Hatake,UR,NRV01-UR-004L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Zabuza Momochi,UR,NRV01-UR-005L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Haku,UR,NRV01-UR-006L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Iruka Umino,UR,NRV01-UR-007L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Shikamaru Nara,UR,NRV01-UR-008L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Choji Akimichi,UR,NRV01-UR-009L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Ino Yamanaka,UR,NRV01-UR-010L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Neji Hyuga,UR,NRV01-UR-011L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Rock Lee,UR,NRV01-UR-012L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Tenten,UR,NRV01-UR-013L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Hinata Hygua,UR,NRV01-UR-014L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Kiba Inuzuka,UR,NRV01-UR-015L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Haku,SSR,NRV01-SSR-001L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Naruto Uzumaki,SSR,NRV01-SSR-002L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
