Set ID,Set Name,Region,Release Date,Chinese Equivalent,SEA Equivalent,US Equivalent
NRV01,Smriti Collectible Cards - Chapter Jin,SEA,June 2025,Tier 4 Wave 6 (NRZ06),NRV01,NRSA01
NREA01,Smriti Collectible Cards - Earth Scroll-001,SEA,November 2025,Tier 2 Wave 8 (NRB08),NREA01,N/A
NRSA2,Smriti Collectible Cards - Chapter Jin Series 2,SEA,December 2025,Tier 4 Wave 7 (NRZ07),NRSA2,NRSA2
NREA02,Smriti Collectible Cards - Earth Scroll-002,SEA,January 2026,Tier 2 Wave 9 (NRB09),NREA02,N/A
NRSA01,Smriti Collectible Cards - Heaven Scroll,US,October 2025,Tier 4 Wave 6 (NRZ06),NRV01,NRSA01
NRSA2,Smriti Collectible Cards - Chapter Jin Series 2,US,December 2025,Tier 4 Wave 7 (NRZ07),NRSA2,NRSA2
NRSA-PR,Smriti Collectible Cards - Promo,US,December 2025,N/A,NRSA-PR,NRSA-PR
