Name,Rarity,Card_ID,Set_ID,Region,Release_Date
Bushy Brow's Pledge: Undying Love and Protection! 4,R,NRSA02-R-023L1,NRSA02,SEA,December 2025
Sakura Blossoms! 1,R,NRSA02-R-024L1,NRSA02,SEA,December 2025
Sakura Blossoms! 2,R,NRSA02-R-025L1,NRSA02,SEA,December 2025
Sakura Blossoms! 3,R,NRSA02-R-026L1,NRSA02,SEA,December 2025
Battle Formation: Ino-Shika-Cho!! 1,R,NRSA02-R-027L1,NRSA02,SEA,December 2025
Battle Formation: Ino-Shika-Cho!! 2,R,NRSA02-R-028L1,NRSA02,SEA,December 2025
Battle Formation: Ino-Shika-Cho!! 3,R,NRSA02-R-029L1,NRSA02,SEA,December 2025
Battle Formation: Ino-Shika-Cho!! 4,R,NRSA02-R-030L1,NRSA02,SEA,December 2025
Battle Formation: Ino-Shika-Cho!! 5,R,NRSA02-R-031L1,NRSA02,SEA,December 2025
Battle Formation: Ino-Shika-Cho!! 6,R,NRSA02-R-032L1,NRSA02,SEA,December 2025
Battle Formation: Ino-Shika-Cho!! 7,R,NRSA02-R-033L1,NRSA02,SEA,December 2025
Battle Formation: Ino-Shika-Cho!! 8,R,NRSA02-R-034L1,NRSA02,SEA,December 2025
Battle Formation: Ino-Shika-Cho!! 9,R,NRSA02-R-035L1,NRSA02,SEA,December 2025
Clone vs. Clone: Mine are Better Than Yours! 1,R,NRSA02-R-036L1,NRSA02,SEA,December 2025
Clone vs. Clone: Mine are Better Than Yours! 2,R,NRSA02-R-037L1,NRSA02,SEA,December 2025
Clone vs. Clone: Mine are Better Than Yours! 3,R,NRSA02-R-038L1,NRSA02,SEA,December 2025
Clone vs. Clone: Mine are Better Than Yours! 4,R,NRSA02-R-039L1,NRSA02,SEA,December 2025
Bushy Brow's Jealousy: Lions Barrage Unleashed! 1,R,NRSA02-R-040L1,NRSA02,SEA,December 2025
Bushy Brow's Jealousy: Lions Barrage Unleashed! 2,R,NRSA02-R-041L1,NRSA02,SEA,December 2025
Bushy Brow's Jealousy: Lions Barrage Unleashed! 3,R,NRSA02-R-042L1,NRSA02,SEA,December 2025
Bushy Brow's Jealousy: Lions Barrage Unleashed! 4,R,NRSA02-R-043L1,NRSA02,SEA,December 2025
Kunoichi Rumble: The Rivals Get Serious! 1,R,NRSA02-R-044L1,NRSA02,SEA,December 2025
Kunoichi Rumble: The Rivals Get Serious! 2,R,NRSA02-R-045L1,NRSA02,SEA,December 2025
Akamaru Unleashed! Who's Top Dog Now? 1,R,NRSA02-R-046L1,NRSA02,SEA,December 2025
Akamaru Unleashed! Who's Top Dog Now? 2,R,NRSA02-R-047L1,NRSA02,SEA,December 2025
Akamaru Unleashed! Who's Top Dog Now? 3,R,NRSA02-R-048L1,NRSA02,SEA,December 2025
Akamaru Unleashed! Who's Top Dog Now? 4,R,NRSA02-R-049L1,NRSA02,SEA,December 2025
Akamaru Unleashed! Who's Top Dog Now? 5,R,NRSA02-R-050L1,NRSA02,SEA,December 2025
