Name,Rarity,Card_ID,Set_ID,Region,Release_Date
Sasuke Uchiha,SE,NRV01-SE-001L5,NRV01,SEA,June 2025
Naruto Uzumaki,SE,NRV01-SE-002L5,NRV01,SEA,June 2025
Zabuza Momochi,SE,NRV01-SE-003L5,NRV01,SEA,June 2025
Haku,SE,NRV01-SE-004L5,NRV01,SEA,June 2025
Naruto Uzumaki,SP,NRV01-SP-001L5,NRV01,SEA,June 2025
Sasuke Uchiha,SP,NRV01-SP-002L5,NRV01,SEA,June 2025
Sakura Haruno,SP,NRV01-SP-003L5,NRV01,SEA,June 2025
Kakashi Hatake,SP,NRV01-SP-004L5,NRV01,SEA,June 2025
Naruto Uzumaki,BP,NRV01-BP-001L4,NRV01,SEA,June 2025
Sasuke Uchiha,BP,NRV01-BP-002L4,NRV01,SEA,June 2025
Sakura Haruno,BP,NRV01-BP-003L4,NRV01,SEA,June 2025
Kakashi Hatake,BP,NRV01-BP-004L4,NRV01,SEA,June 2025
Hiruzen Sarutobi,BP,NRV01-BP-005L4,NRV01,SEA,June 2025
Konohamaru Sarutobi,BP,NRV01-BP-006L4,NRV01,SEA,June 2025
Haku,BP,NRV01-BP-007L4,NRV01,SEA,June 2025
Naruto Uzumaki,MR,NRV01-MR-001,NRV01,SEA,June 2025
Sasuke Uchiha,MR,NRV01-MR-002,NRV01,SEA,June 2025
Sakura Haruno,MR,NRV01-MR-003,NRV01,SEA,June 2025
Kakashi Hatake,MR,NRV01-MR-004,NRV01,SEA,June 2025
Zabuza Momochi,MR,NRV01-MR-005,NRV01,SEA,June 2025
Haku,MR,NRV01-MR-006,NRV01,SEA,June 2025
Sasuke Uchiha,PU,NRV01-PU-001L4,NRV01,SEA,June 2025
Sakura Haruno,PU,NRV01-PU-002L4,NRV01,SEA,June 2025
Naruto Uzumaki,PU,NRV01-PU-003L4,NRV01,SEA,June 2025
Kakashi Hatake,PU,NRV01-PU-004L4,NRV01,SEA,June 2025
